# Supplemental data for: Revisiting population size vs. phoneme inventory size.
# Moran, Steven, Daniel McCloy and Richard Wright. 2012. Revisiting population size vs. phoneme inventory size. Language, 88(4), 877-893.
# http://phoible.org
# This dataset is non-commercial, research only, do not distribute, and cite us if appropriate.
ReportDate	Source	inventory_id	language_code_id	alternative_language_names	root	wals_genus	area	glyph
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	ĩ
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	ɲ
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	ɛ̃
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	ŋm
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	˨
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	˦
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	ɔ̃
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	ɡb
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	kp
"2012-09-20 03:33:25"	Chanard	692	ada	"dangme "	ncon	Kwa	Africa	↓
"2012-09-20 03:33:25"	PHOIBLE	1526	adj	Adioukrou	ncon	Kwa	Africa	o
"2012-09-20 03:33:25"	PHOIBLE	1526	adj	Adioukrou	ncon	Kwa	Africa	u
"2012-09-20 03:33:25"	PHOIBLE	1526	adj	Adioukrou	ncon	Kwa	Africa	a
"2012-09-20 03:33:25"	PHOIBLE	1526	adj	Adioukrou	ncon	Kwa	Africa	ŋ
"2012-09-20 03:33:25"	PHOIBLE	1526	adj	Adioukrou	ncon	Kwa	Africa	e
"2012-09-20 03:33:25"	PHOIBLE	1526	adj	Adioukrou	ncon	Kwa	Africa	ɛ
"2012-09-20 03:33:25"	PHOIBLE	1526	adj	Adioukrou	ncon	Kwa	Africa	i
"2012-09-20 03:33:25"	PHOIBLE	1526	adj	Adioukrou	ncon	Kwa	Africa	h
"2012-09-20 03:33:25"	PHOIBLE	1526	adj	Adioukrou	ncon	Kwa	Africa	k
"2012-09-20 03:33:25"	PHOIBLE	1526	adj	Adioukrou	ncon	Kwa	Africa	ɡ
"2012-09-20 03:33:25"	PHOIBLE	1526	adj	Adioukrou	ncon	Kwa	Africa	j
"2012-09-20 03:33:25"	PHOIBLE	1526	adj	Adioukrou	ncon	Kwa	Africa	m
"2012-09-20 03:33:25"	PHOIBLE	1526	adj	Adioukrou	ncon	Kwa	Africa	l
